P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
P1=0.5, Q1=0.9, D=1.0, strategies=Vector(1.0, 5.0, 9.0), simulation=Moderate
